id,delivered_time,brand,outlet,sku,order_quantity
494,2021-04-27T10:29:14Z,B,YK28,598,1
495,2021-04-27T10:45:15Z,B,YK28,581,1
496,2021-04-27T10:45:15Z,B,YK28,598,1
497,2021-04-27T11:12:41Z,B,YK28,581,1
498,2021-04-27T11:12:41Z,B,YK28,598,1
499,2021-04-27T11:13:57Z,B,YK28,598,1
500,2021-04-27T11:43:38Z,C,YK28,998,1
501,2021-04-27T11:43:38Z,C,YK28,999,1
502,2021-04-27T11:53:02Z,C,YK28,994,3
503,2021-04-27T11:53:02Z,C,YK28,995,2
504,2021-04-27T12:03:04Z,B,YK28,581,1
505,2021-04-27T12:03:04Z,B,YK28,598,1
506,2021-04-27T12:03:04Z,B,YK28,603,1
507,2021-04-27T12:17:20Z,B,YK28,588,1
508,2021-04-27T14:00:39Z,C,YK28,996,3
509,2021-04-27T14:00:39Z,C,YK28,997,3
510,2021-04-27T14:00:39Z,C,YK28,998,5
511,2021-04-27T14:00:39Z,C,YK28,999,2
512,2021-04-27T14:00:39Z,C,YK28,000,2
513,2021-04-27T15:38:25Z,C,YK28,994,9
